country,country_code,Year,carbon_intensity,co2_per_capita,co2_total_mt,gdp_constant_2015_usd,urban_population_growth,urban_population_pct
China,CHN,2005,1.38004797320084,4.78299420120885,6235.6852,4518455387849.41,3.49094616926234,42.9899978637695
China,CHN,2006,1.35978460568449,5.28052516361306,6922.8741,5091154930758.42,3.65713483288953,44.3430099487305
China,CHN,2007,1.29431903973798,5.7076324565497,7522.0032,5811552614974.09,3.94983887273664,45.8892440795898
China,CHN,2008,1.21631287838271,5.85225866357655,7752.2237,6373544042638.01,2.88174098874863,46.9895057678223
China,CHN,2009,1.19308296540098,6.24909018523805,8319.1638,6972829250985.1,3.33441700614159,48.3417053222656
China,CHN,2010,1.18080550972293,6.80718476794211,9106.0051,7711689202853.29,2.31199368347925,49.2340270628041
China,CHN,2011,1.17940683852303,7.40185065816131,9955.7482,8441318020902.42,5.68492664212314,51.8300285339355
China,CHN,2012,1.12809715458083,7.58441651466929,10270.741,9104482675356.36,3.09965622046239,53.1003112792969
China,CHN,2013,1.0965825098719,7.89327631231478,10760.43,9812695262900.89,3.24951694056691,54.4900016784668
China,CHN,2014,1.0318822483914,7.93164331637339,10881.1042,10544908798424.0,2.91680288008358,55.7502555847168
China,CHN,2015,0.952936184356233,7.79057049265868,10749.8966,11280814787468.9,3.37528532053127,57.3297843933105
China,CHN,2016,0.894444935344965,7.76322483949301,10773.7258,12045152668727.3,3.17308241612449,58.8399238586426
China,CHN,2017,0.854309443011614,7.87802652170332,10999.4188,12875216222853.4,2.95728932457474,60.2402687072754
China,CHN,2018,0.838659800727931,8.2177362485386,11527.5117,13745158275136.7,2.5376076856921,61.5001983642578
China,CHN,2019,0.810263287437438,8.39147587098516,11813.0582,14579283528148.4,2.30265796342305,62.7099151611328
China,CHN,2020,0.801860230901059,8.47858302033874,11964.1285,14920466234565.3,1.52695413125789,63.5234230266258
China,CHN,2021,0.774846489474757,8.88715660313235,12551.8645,16199162892908.6,1.95707313202645,64.721076965332
China,CHN,2022,0.749313334177565,8.86482511020235,12518.6844,16706875253648.5,0.751201671519741,65.2176361083984
China,CHN,2023,0.739359083766105,9.23027553501428,13021.242,17611526369126.6,0.374239259681571,65.5301448035523
China,CHN,2024,0.709900826296661,9.31508933799393,13124.728,18488114837769.3,0.431708792065523,65.8946980998325
India,IND,2000,1.24528165291358,0.942309744278839,996.8909,800534479623.61,2.74716354214945,27.6470407512523
India,IND,2001,1.20716867577432,0.939789720011458,1012.998,839151992864.812,2.79167632635927,27.9028652096636
India,IND,2002,1.20665483381401,0.957620477500199,1051.0846,871073127580.09,2.78430381700354,28.1756878910456
India,IND,2003,1.15270321044574,0.969744882653011,1083.014,939542798342.002,2.75957503853038,28.4660287698
India,IND,2004,1.15194973298319,1.02822643182898,1168.0565,1013982178697.24,2.77480790295643,28.7726067228528
India,IND,2005,1.11276633523263,1.05460489385527,1217.7273,1094324353140.52,2.74412999366421,29.0945497159107
India,IND,2006,1.09906158881801,1.10810989189174,1299.6787,1182534912713.8,2.7138445773411,29.4309857146804
India,IND,2007,1.11164542513771,1.18862350046436,1415.2655,1273126725479.64,2.68838973840524,29.7810426848684
India,IND,2008,1.15798709004047,1.25815998206335,1519.7704,1312424303406.43,2.6496554632103,30.1438485921815
India,IND,2009,1.14521986249365,1.32284533301467,1621.1797,1415605643155.69,2.68133844908469,30.5185314023263
India,IND,2010,1.12641222066683,1.39129863287623,1730.0542,1535897931732.14,2.71046640355998,30.9042190810094
India,IND,2011,1.14182418633433,1.46337391608571,1845.6437,1616399198833.92,2.60834363267832,31.2746502853309
India,IND,2012,1.1822668593635,1.57607553513255,2015.2876,1704596203504.32,2.37699314592326,31.5898935604399
India,IND,2013,1.14291630021741,1.59945855716817,2072.6256,1813453530766.63,2.33991754994745,31.9096789235237
India,IND,2014,1.14879607350258,1.70517686000076,2237.6647,1947834564908.95,2.25647131147126,32.2288233408821
India,IND,2015,1.08302063429906,1.71550269097521,2278.2296,2103588360044.94,2.17617533145353,32.5472990022299
India,IND,2016,1.0152419798892,1.7202923565219,2311.9771,2277267041550.36,2.16325487902533,32.8650780972823
India,IND,2017,1.00377687944633,1.79545339877531,2441.2015,2432016068497.75,2.12248866445848,33.1821328157539
India,IND,2018,0.987541064279464,1.85989309419052,2556.7189,2588974770244.57,2.0460160617663,33.4984353473598
India,IND,2019,0.948787771578454,1.83688223212799,2551.4851,2689205295885.31,1.97750804279549,33.8139578818147
India,IND,2020,0.930196032104661,1.68040016064392,2356.959,2533830417086.54,1.89985832105548,34.1286726088333
India,IND,2021,0.934727877891763,1.83702951699406,2597.9343,2779348258938.77,1.73813803578169,34.4425517181304
India,IND,2022,0.938559544252472,1.96929618962877,2807.0805,2990839011962.46,1.69490092263281,34.7555673994206
India,IND,2023,0.923080631743825,2.09622858892568,3014.5226,3265719695911.24,1.7773369092557,35.0676918424186
India,IND,2024,0.906840669388088,2.17365173535787,3153.8291,3477820532826.48,1.77423382325139,35.3788972368389
Russian Federation,RUS,2000,2.15412773672116,11.4678581573253,1681.1521,780432873752.842,-0.158518547385237,73.1568222045898
Russian Federation,RUS,2001,2.05340674454175,11.5380010322485,1684.2768,820235350096.64,-0.32413893880667,73.22998046875
Russian Federation,RUS,2002,1.95077007149548,11.5293860535362,1675.2947,858786345187.109,-0.374139083048127,73.2929008030615
Russian Federation,RUS,2003,1.88529042030865,12.0101555342893,1737.2524,921477339133.556,-0.299944177220899,73.4057388305664
Russian Federation,RUS,2004,1.76030523696281,12.0698465708905,1738.8704,987823227180.876,-0.537856482113236,73.3065795898438
Russian Federation,RUS,2005,1.65483348707954,12.1189832296134,1739.3021,1051043572407.72,-0.579704931131405,73.1613922119141
Russian Federation,RUS,2006,1.56186269654894,12.4166473767424,1776.1969,1137229862730.35,-0.214706733456985,73.2439193725586
Russian Federation,RUS,2007,1.44181411552027,12.4578591772281,1779.046,1233894148246.74,0.0221745532374991,73.3856048583984
Russian Federation,RUS,2008,1.3592288315784,12.3604193305861,1764.3555,1298056264706.47,0.0876537538872122,73.4822463989258
Russian Federation,RUS,2009,1.38877895400917,11.6405620274147,1662.1017,1196807955075.78,0.0935349649488752,73.5288696289062
Russian Federation,RUS,2010,1.39677512325209,12.2289345872818,1746.8968,1250664313044.7,0.236150756779433,73.6696307887624
Russian Federation,RUS,2011,1.40489999017059,12.8138402250147,1832.6123,1304443243520.47,0.367299951595695,73.8534851074219
Russian Federation,RUS,2012,1.34111197714559,12.6922981666833,1819.802,1356935163515.02,0.412807805363494,73.97265625
Russian Federation,RUS,2013,1.27774084991029,12.2682756012668,1764.2472,1380755103919.45,0.437509651578485,74.0762949770228
Russian Federation,RUS,2014,1.25830202419258,12.1341694161707,1750.1989,1390921151162.46,0.436395492452819,74.1776476748791
Russian Federation,RUS,2015,1.2886959015246,12.1481277789029,1757.1139,1363482182197.71,0.411745480856223,74.275919065527
Russian Federation,RUS,2016,1.26975247326301,11.961746699283,1734.6382,1366123111808.03,0.385757419294273,74.3703138709243
Russian Federation,RUS,2017,1.26754628558366,12.1357322425004,1763.2401,1391065651845.68,0.311953191766694,74.460036813029
Russian Federation,RUS,2018,1.280408332881,12.5939247104085,1831.1328,1430116278515.49,0.185227645677902,74.5442926137992
Russian Federation,RUS,2019,1.27125334447972,12.7738739166789,1858.002,1461551317106.21,0.142519224434736,74.6222859951926
Russian Federation,RUS,2020,1.25403481900707,12.2840530273686,1784.1991,1422766794794.99,-0.0481880641867905,74.6932216791674
Russian Federation,RUS,2021,1.28695840850491,13.3920757412176,1938.4596,1506233291759.56,-0.265484886158326,74.7516840220252
Russian Federation,RUS,2022,1.27675185581579,13.1413838368291,1895.4729,1484605556957.56,-0.215408008986696,74.8544893625017
Russian Federation,RUS,2023,1.26086173547808,13.5462339145189,1948.3024,1545214947189.49,-0.117012537246107,74.9805047873279
Russian Federation,RUS,2024,1.24610691597266,13.9977718566194,2009.1541,1612344875264.36,-0.0283196242809465,75.1119136177067
South Africa,ZAF,2000,1.56651230823866,7.36397941641679,347.2832,221691970228.101,2.37958049360922,56.2589954883628
South Africa,ZAF,2001,1.56967007795617,7.51319828115408,357.3788,227677653424.683,2.17054019783816,57.0014339378269
South Africa,ZAF,2002,1.57038860614816,7.72131022420827,370.7728,236102579035.79,2.11719451581064,57.6723587528482
South Africa,ZAF,2003,1.61921838293797,8.11491084558816,393.576,243065422272.369,2.20313387477921,58.3724341232066
South Africa,ZAF,2004,1.67527201673275,8.69023374521021,425.7469,254135982543.496,2.24231194345346,59.0977390950102
South Africa,ZAF,2005,1.63057560459652,8.81501533854301,436.2554,267546870424.295,2.23432772818096,59.8241758378997
